InChI Key,CDT_Max,Resp_VAR,Resp_COUNT,Resp_STDEV,Resp_MEDIAN,SMILES_ORI,ID,NAME,DocumentID,RESPONSE,UNIT,DATASET,DATASET_ENTRY_ID,CpID,BatchRef,CpdType,ENTRY_ID,SMILES,InChI,Response
QYPPRTNMGCREIM-UHFFFAOYSA-N,0,0.0,1,0.0,-3.1,C[As](=O)(O)O,R35258058,MSMA,A111278,-3.1,Log unit,OChem,OChem_12152,0,0,0,ID_12152,C[As](=O)(O)O,"InChI=1S/CH5AsO3/c1-2(3,4)5/h1H3,(H2,3,4,5)",-3.1
HTLIIBRHXAULMB-UHFFFAOYSA-N,0,0.0,3,0.0,2.0,O=c1c2ccccc2nc2n1CCCCC2,R1194396,-,A5920,2.0,Log unit,OChem,OChem_23612,0,0,0,ID_23612,O=c1c2ccccc2nc2n1CCCCC2,"InChI=1S/C13H14N2O/c16-13-10-6-3-4-7-11(10)14-12-8-2-1-5-9-15(12)13/h3-4,6-7H,1-2,5,8-9H2",2.0
GFUJWAPYFMKGTB-UHFFFAOYSA-N,0,0.0,3,0.0,2.3,CCCCc1nc(C#N)c(C#N)nc1C,R1188688,-,A5920,2.3,Log unit,OChem,OChem_22056,0,0,0,ID_22056,CCCCc1nc(C#N)c(C#N)nc1C,"InChI=1S/C11H12N4/c1-3-4-5-9-8(2)14-10(6-12)11(7-13)15-9/h3-5H2,1-2H3",2.3
IADJFFRYWBYPAR-UHFFFAOYSA-N,0,1e-16,3,1.05367121e-08,0.62,CS(=O)(=O)N(c1ccccc1)S(C)(=O)=O,R777587,"N,N-Di-(Me sulfonyl)-aniline",A5643,0.62,Log unit,OChem,OChem_20646,0,0,0,ID_20646,CS(=O)(=O)N(c1ccccc1)S(C)(=O)=O,"InChI=1S/C8H11NO4S2/c1-14(10,11)9(15(2,12)13)8-6-4-3-5-7-8/h3-7H,1-2H3",0.62
LCLYWJDPJMDAQN-UHFFFAOYSA-N,0,0.0,1,0.0,0.83,COc1ccc(NC(=O)N(C)C)cc1,R671943,-,A5214,0.83,Log unit,OChem,OChem_19436,0,0,0,ID_19436,COc1ccc(NC(=O)N(C)C)cc1,"InChI=1S/C10H14N2O2/c1-12(2)10(13)11-8-4-6-9(14-3)7-5-8/h4-7H,1-3H3,(H,11,13)",0.83
KVNRLNFWIYMESJ-UHFFFAOYSA-N,0,0.0,10,0.0,0.53,CCCC#N,R585396,BUTANENITRILE,A4439,0.53,Log unit,OChem,OChem_1130,0,0,0,ID_1130,CCCC#N,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3",0.53
YWJAFMZFEVIKBM-UHFFFAOYSA-N,0,0.0,2,0.0,1.56,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(O)CO)CC3OC1CC(N2CCOCC2C#N)C(O)C(C)O1,R775189,"2-Cyanomorpholino-doxorubicin,13-dihydro-",A5643,1.56,Log unit,OChem,OChem_35271,0,0,0,ID_35271,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(O)CO)CC3OC1CC(N2CCOCC2C#N)C(O)C(C)O1,"InChI=1S/C32H36N2O12/c1-14-27(37)18(34-6-7-44-13-15(34)11-33)8-22(45-14)46-20-10-32(42,21(36)12-35)9-17-24(20)31(41)26-25(29(17)39)28(38)16-4-3-5-19(43-2)23(16)30(26)40/h3-5,14-15,18,20-22,27,35-37,39,41-42H,6-10,12-13H2,1-2H3",1.56
QUGUFLJIAFISSW-UHFFFAOYSA-N,0,2.6e-15,9,5.16191365e-08,2.13,Fc1ccc(F)cc1,R6534,"1,4-Difluorobenzene",A164,2.13,Log unit,OChem,OChem_634,0,0,0,ID_634,Fc1ccc(F)cc1,InChI=1S/C6H4F2/c7-5-1-2-6(8)4-3-5/h1-4H,2.13
FMGYKKMPNATWHP-UHFFFAOYSA-N,0,0.0,1,0.0,-2.28,C[n+]1ccc(-c2ccccc2)cc1,R772499,"PYRIDINIUM, 1-METHYL-4-PHENYL-, IODIDE",A5643,-2.28,Log unit,OChem,OChem_32997,0,0,0,ID_32997,C[n+]1ccc(-c2ccccc2)cc1,"InChI=1S/C12H12N/c1-13-9-7-12(8-10-13)11-5-3-2-4-6-11/h2-10H,1H3/q+1",-2.28
USHDVLNIGSADET-UHFFFAOYSA-N,0,0.0,2,0.0,3.44,COC(=O)C(C#N)=NNc1ccc(C(F)(F)F)cc1[N+](=O)[O-],R671995,-,A5214,3.44,Log unit,OChem,OChem_31482,0,0,0,ID_31482,COC(=O)C(C#N)=NNc1ccc(C(F)(F)F)cc1[N+](=O)[O-],"InChI=1S/C11H7F3N4O4/c1-22-10(19)8(5-15)17-16-7-3-2-6(11(12,13)14)4-9(7)18(20)21/h2-4,16H,1H3",3.44
DQWOZMUBHQPFFF-UHFFFAOYSA-N,0,0.0,2,0.0,1.75,COc1ccc(CC(C)N)c(OC)c1,R6190,"2,4-Dimethoxyamphetamine",A164,1.75,Log unit,OChem,OChem_17429,0,0,0,ID_17429,COc1ccc(CC(C)N)c(OC)c1,"InChI=1S/C11H17NO2/c1-8(12)6-9-4-5-10(13-2)7-11(9)14-3/h4-5,7-8H,6,12H2,1-3H3",1.75
UEQLSLWCHGLSML-UHFFFAOYSA-N,0,1.7e-15,3,4.21468485e-08,2.33,C=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],R1188680,-,A5920,2.33,Log unit,OChem,OChem_22048,0,0,0,ID_22048,C=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],"InChI=1S/C7H6N4O4/c1-8-9-6-3-2-5(10(12)13)4-7(6)11(14)15/h2-4,9H,1H2",2.33
AUURLPKCWMLKFL-UHFFFAOYSA-N,0,3.5e-15,3,5.96046447e-08,3.12,CN(C(=S)c1ccccc1)c1ccccc1,R1189168,-,A5920,3.12,Log unit,OChem,OChem_22438,0,0,0,ID_22438,CN(C(=S)c1ccccc1)c1ccccc1,"InChI=1S/C14H13NS/c1-15(13-10-6-3-7-11-13)14(16)12-8-4-2-5-9-12/h2-11H,1H3",3.12
CYYZDBDROVLTJU-UHFFFAOYSA-N,0,0.0020250000000009,4,0.04500000000001,3.65,CCCCc1ccc(O)cc1,R586347,"Phenol, 4-butyl-",A4439,3.65,Log unit,OChem,OChem_18110,0,0,0,ID_18110,CCCCc1ccc(O)cc1,"InChI=1S/C10H14O/c1-2-3-4-9-5-7-10(11)8-6-9/h5-8,11H,2-4H2,1H3",3.65
RKUNBYITZUJHSG-UHFFFAOYSA-N,0,0.0,2,0.0,1.83,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,R670907,-,A5214,1.83,Log unit,OChem,OChem_31249,0,0,0,ID_31249,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,"InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3",1.83
UBUMXYBTWVDCLH-UHFFFAOYSA-N,0,0.0,1,0.0,-0.92,CN(C)C(N(C)C)=S(I)c1ccccc1[N+](=O)[O-],R776674,"Tetramethylthiouronium iodide,S-(2-nitrophenyl)",A5643,-0.92,Log unit,OChem,OChem_35574,0,0,0,ID_35574,CN(C)C(N(C)C)=S(I)c1ccccc1[N+](=O)[O-],"InChI=1S/C11H16IN3O2S/c1-13(2)11(14(3)4)18(12)10-8-6-5-7-9(10)15(16)17/h5-8H,1-4H3",-0.92
KXJAQUIZSZBSID-UHFFFAOYSA-N,0,0.0,3,0.0,1.37,C=CCC(CC=C)(C(=O)NC(N)=O)C(=O)OC,R1194690,-,A5920,1.37,Log unit,OChem,OChem_23817,0,0,0,ID_23817,C=CCC(CC=C)(C(=O)NC(N)=O)C(=O)OC,"InChI=1S/C11H16N2O4/c1-4-6-11(7-5-2,9(15)17-3)8(14)13-10(12)16/h4-5H,1-2,6-7H2,3H3,(H3,12,13,14,16)",1.37
GBFUMFABWSTWON-UHFFFAOYSA-N,0,0.0,1,0.0,1.63,c1ccc2c(c1)OCCOCCOCCOCCOCCOCCOc1ccccc1OCCO2,R773667,"[2,7]DB27C9-DIBENZO CROWN ETHER",A5643,1.63,Log unit,OChem,OChem_35094,0,0,0,ID_35094,c1ccc2c(c1)OCCOCCOCCOCCOCCOCCOc1ccccc1OCCO2,"InChI=1S/C26H36O9/c1-3-7-25-23(5-1)32-19-17-30-15-13-28-11-9-27-10-12-29-14-16-31-18-20-33-24-6-2-4-8-26(24)35-22-21-34-25/h1-8H,9-22H2",1.63
QXQWIOZONGXWQO-UHFFFAOYSA-N,0,0.0,1,0.0,2.84,CCOC(=O)C(=Cc1ccccc1Cl)C(C)=O,R771028,"ETHYLACETOACETATE,2-CHLOROBENZAL",A5643,2.84,Log unit,OChem,OChem_32540,0,0,0,ID_32540,CCOC(=O)C(=Cc1ccccc1Cl)C(C)=O,"InChI=1S/C13H13ClO3/c1-3-17-13(16)11(9(2)15)8-10-6-4-5-7-12(10)14/h4-8H,3H2,1-2H3",2.84
RQJKVPUBSZKQIR-UHFFFAOYSA-N,0,4e-16,3,2.10734242e-08,1.53,Cc1cccc(C)c1NC(=O)C(C)N(C)C,R1194414,-,A5920,1.53,Log unit,OChem,OChem_23628,0,0,0,ID_23628,Cc1cccc(C)c1NC(=O)C(C)N(C)C,"InChI=1S/C13H20N2O/c1-9-7-6-8-10(2)12(9)14-13(16)11(3)15(4)5/h6-8,11H,1-5H3,(H,14,16)",1.53
XARRNBRDTOCYPU-UHFFFAOYSA-N,0,0.0,1,0.0,2.44,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,R774617,"24-NH2PYRIMIDINE,5(4MEO-3PHMEO)BENZYL",A5643,2.44,Log unit,OChem,OChem_33590,0,0,0,ID_33590,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,"InChI=1S/C19H20N4O2/c1-24-16-8-7-14(9-15-11-22-19(21)23-18(15)20)10-17(16)25-12-13-5-3-2-4-6-13/h2-8,10-11H,9,12H2,1H3,(H4,20,21,22,23)",2.44
NPBZYWHKNPFNOQ-UHFFFAOYSA-N,0,0.0,1,0.0,1.13,O=C(OCn1ncc2c(=O)[nH]cnc21)c1cccc(CN2CCOCC2)c1,R776791,"ALLOPURINOL,N-(3-(MORPHOLINOMETHYL)BENZOYLOXY)ME",A5643,1.13,Log unit,OChem,OChem_35629,0,0,0,ID_35629,O=C(OCn1ncc2c(=O)[nH]cnc21)c1cccc(CN2CCOCC2)c1,"InChI=1S/C18H19N5O4/c24-17-15-9-21-23(16(15)19-11-20-17)12-27-18(25)14-3-1-2-13(8-14)10-22-4-6-26-7-5-22/h1-3,8-9,11H,4-7,10,12H2,(H,19,20,24)",1.13
SKRFOKYYVJDBJB-UHFFFAOYSA-N,0,1.7e-15,3,4.21468485e-08,3.15,Cc1cnc(-c2ccc(C(C)C(=O)O)cc2)s1,R1194734,-,A5920,3.15,Log unit,OChem,OChem_23838,0,0,0,ID_23838,Cc1cnc(-c2ccc(C(C)C(=O)O)cc2)s1,"InChI=1S/C13H13NO2S/c1-8-7-14-12(17-8)11-5-3-10(4-6-11)9(2)13(15)16/h3-7,9H,1-2H3,(H,15,16)",3.15
WZOIGUIUVDNBMK-UHFFFAOYSA-N,0,0.0,3,0.0,2.31,CNc1cccc(NC(=O)Cc2ccccc2)c1,R1190395,-,A5920,2.31,Log unit,OChem,OChem_23228,0,0,0,ID_23228,CNc1cccc(NC(=O)Cc2ccccc2)c1,"InChI=1S/C15H16N2O/c1-16-13-8-5-9-14(11-13)17-15(18)10-12-6-3-2-4-7-12/h2-9,11,16H,10H2,1H3,(H,17,18)",2.31
NREAGDHHMSOWKZ-UHFFFAOYSA-N,0,0.0,1,0.0,2.0,CC(=O)OC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,R35263668,"DIGOXIN,BETA-ACETYL",A111278,2.0,Log unit,OChem,OChem_36255,0,0,0,ID_36255,CC(=O)OC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,"InChI=1S/C43H66O15/c1-20-38(55-23(4)44)30(45)17-36(53-20)57-40-22(3)54-37(18-32(40)47)58-39-21(2)52-35(16-31(39)46)56-26-9-11-41(5)25(14-26)7-8-28-29(41)15-33(48)42(6)27(10-12-43(28,42)50)24-13-34(49)51-19-24/h13,20-22,25-33,35-40,45-48,50H,7-12,14-19H2,1-6H3",2.0
INFRNBFFTZMRST-UHFFFAOYSA-N,0,0.0,1,0.0,2.45,CC(C)OC(=O)CS(=O)(=O)c1ccc(Cl)cc1[N+](=O)[O-],R671226,-,A5214,2.45,Log unit,OChem,OChem_31298,0,0,0,ID_31298,CC(C)OC(=O)CS(=O)(=O)c1ccc(Cl)cc1[N+](=O)[O-],"InChI=1S/C11H12ClNO6S/c1-7(2)19-11(14)6-20(17,18)10-4-3-8(12)5-9(10)13(15)16/h3-5,7H,6H2,1-2H3",2.45
HGDLNBCHJKEIGZ-UHFFFAOYSA-N,0,0.0,7,1.5208433e-09,-0.1,CCN(O)C(N)=O,R5253,1-Ethylhydroxyurea,A164,-0.1,Log unit,OChem,OChem_343,0,0,0,ID_343,CCN(O)C(N)=O,"InChI=1S/C3H8N2O2/c1-2-5(7)3(4)6/h7H,2H2,1H3,(H2,4,6)",-0.1
BTOTXLJHDSNXMW-UHFFFAOYSA-N,0,0.0,3,0.0,-1.0,O=c1ccn(C2CCC(CO)O2)c(=O)[nH]1,R1189029,-,A5920,-1.0,Log unit,OChem,OChem_22352,0,0,0,ID_22352,O=c1ccn(C2CCC(CO)O2)c(=O)[nH]1,"InChI=1S/C9H12N2O4/c12-5-6-1-2-8(15-6)11-4-3-7(13)10-9(11)14/h3-4,6,8,12H,1-2,5H2,(H,10,13,14)",-1.0
SAXHIDRUJXPDOD-UHFFFAOYSA-N,0,4e-16,3,2.10734242e-08,1.53,CCOC(=O)C(O)c1ccccc1,R6061,Mandelic acid ethyl ester,A164,1.53,Log unit,OChem,OChem_17353,0,0,0,ID_17353,CCOC(=O)C(O)c1ccccc1,"InChI=1S/C10H12O3/c1-2-13-10(12)9(11)8-6-4-3-5-7-8/h3-7,9,11H,2H2,1H3",1.53
MVYJHOJFBCLVIB-UHFFFAOYSA-N,0,0.0,3,0.0,2.27,O=c1ccc2cc3ccsc3cc2o1,R780671,1'-THIOPSORALEN #2,A5643,2.27,Log unit,OChem,OChem_21339,0,0,0,ID_21339,O=c1ccc2cc3ccsc3cc2o1,InChI=1S/C11H6O2S/c12-11-2-1-7-5-8-3-4-14-10(8)6-9(7)13-11/h1-6H,2.27
XURCIIPFCHTZGF-UHFFFAOYSA-N,0,0.0,2,0.0,2.71,CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1,R771373,O=P(NME)(OME)O-(4-T-BU PHENYL),A5643,2.71,Log unit,OChem,OChem_32616,0,0,0,ID_32616,CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1,"InChI=1S/C12H20NO3P/c1-12(2,3)10-6-8-11(9-7-10)16-17(14,13-4)15-5/h6-9H,1-5H3,(H,13,14)",2.71
CXVIEBMEWKSONY-UHFFFAOYSA-N,0,0.0,1,0.0,1.2,CCC#CCC(C)O,R2708856,4-Heptyn-2-ol,A10286,1.2,Log unit,OChem,OChem_8922,0,0,0,ID_8922,CCC#CCC(C)O,"InChI=1S/C7H12O/c1-3-4-5-6-7(2)8/h7-8H,3,6H2,1-2H3",1.2
QRYWRVHZEBEZDQ-UHFFFAOYSA-N,0,0.0,3,5.268356e-09,0.35,CN1CCN(C(=O)c2ccccc2)CC1,R1188977,-,A5920,0.35,Log unit,OChem,OChem_22302,0,0,0,ID_22302,CN1CCN(C(=O)c2ccccc2)CC1,"InChI=1S/C12H16N2O/c1-13-7-9-14(10-8-13)12(15)11-5-3-2-4-6-11/h2-6H,7-10H2,1H3",0.35
FYLUUUHOKBDRMG-UHFFFAOYSA-N,0,0.0,2,0.0,2.82,OC(CN1CCOCC1)(c1ccc(F)cc1)c1ccc(-c2ccncc2)cc1,R777173,"Morpholine-4-ethanol, a-(4-fluorophenyl)-a-[4-(4",A5643,2.82,Log unit,OChem,OChem_35737,0,0,0,ID_35737,OC(CN1CCOCC1)(c1ccc(F)cc1)c1ccc(-c2ccncc2)cc1,"InChI=1S/C23H23FN2O2/c24-22-7-5-21(6-8-22)23(27,17-26-13-15-28-16-14-26)20-3-1-18(2-4-20)19-9-11-25-12-10-19/h1-12,27H,13-17H2",2.82
XQSPYNMVSIKCOC-UHFFFAOYSA-N,0,0.0,2,0.0,-0.43,Nc1nc(=O)n(C2CSC(CO)O2)cc1F,R34782290,Emtricitabine,A106408,-0.43,Log unit,OChem,OChem_26499,0,0,0,ID_26499,Nc1nc(=O)n(C2CSC(CO)O2)cc1F,"InChI=1S/C8H10FN3O3S/c9-4-1-12(8(14)11-7(4)10)5-3-16-6(2-13)15-5/h1,5-6,13H,2-3H2,(H2,10,11,14)",-0.43
PWORFEDVDWBHSJ-UHFFFAOYSA-N,0,0.0,5,0.0,1.64,Cn1nc2ccccc2n1,R97008,2-METHYLBENZOTRIAZOLE,A2330,1.64,Log unit,OChem,OChem_793,0,0,0,ID_793,Cn1nc2ccccc2n1,"InChI=1S/C7H7N3/c1-10-8-6-4-2-3-5-7(6)9-10/h2-5H,1H3",1.64
KNWBYYSQLWZITM-UHFFFAOYSA-N,0,0.0,2,0.0,3.21,O=[N+]([O-])c1cc2nc(C(F)(F)F)[nH]c2cc1Cl,R670706,-,A5214,3.21,Log unit,OChem,OChem_31221,0,0,0,ID_31221,O=[N+]([O-])c1cc2nc(C(F)(F)F)[nH]c2cc1Cl,"InChI=1S/C8H3ClF3N3O2/c9-3-1-4-5(2-6(3)15(16)17)14-7(13-4)8(10,11)12/h1-2H,(H,13,14)",3.21
DRFQXHBBXNUMHU-UHFFFAOYSA-N,0,0.0,1,0.0,2.51,CC(C)NC(=NC#N)NS(=O)(=O)c1cnccc1Nc1cccc(I)c1,R35261532,"PYRIDINE-3-SULFONYLCYANOGUANIDINE,N1-I-PROPYL,4-; SRC007-24-8",A111278,2.51,Log unit,OChem,OChem_36005,0,0,0,ID_36005,CC(C)NC(=NC#N)NS(=O)(=O)c1cnccc1Nc1cccc(I)c1,"InChI=1S/C16H17IN6O2S/c1-11(2)21-16(20-10-18)23-26(24,25)15-9-19-7-6-14(15)22-13-5-3-4-12(17)8-13/h3-9,11H,1-2H3,(H,19,22)(H2,20,21,23)",2.51
BDYYDXJSHYEDGB-UHFFFAOYSA-N,0,0.0,2,0.0,2.24,CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2ccco2)cc1,R769713,DILOXANIDE FUROATE,A5643,2.24,Log unit,OChem,OChem_32263,0,0,0,ID_32263,CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2ccco2)cc1,"InChI=1S/C14H11Cl2NO4/c1-17(13(18)12(15)16)9-4-6-10(7-5-9)21-14(19)11-3-2-8-20-11/h2-8,12H,1H3",2.24
OPQYFNRLWBWCST-UHFFFAOYSA-N,0,8e-16,3,2.98023223e-08,1.86,O=C(O)COc1ccccc1Cl,R5702,2-chlorophenoxyacetic acid,A164,1.86,Log unit,OChem,OChem_17141,0,0,0,ID_17141,O=C(O)COc1ccccc1Cl,"InChI=1S/C8H7ClO3/c9-6-3-1-2-4-7(6)12-5-8(10)11/h1-4H,5H2,(H,10,11)",1.86
TUDCSVRBKZFVOV-UHFFFAOYSA-N,0,0.0,3,0.0,2.67,CNC(=S)NC12CC3CC(CC(C3)C1)C2,R1188619,-,A5920,2.67,Log unit,OChem,OChem_22002,0,0,0,ID_22002,CNC(=S)NC12CC3CC(CC(C3)C1)C2,"InChI=1S/C12H20N2S/c1-13-11(15)14-12-5-8-2-9(6-12)4-10(3-8)7-12/h8-10H,2-7H2,1H3,(H2,13,14,15)",2.67
CZYZUWGWUMMNQS-UHFFFAOYSA-N,0,0.0,1,0.0,3.61,CC(C)CCCCNc1ncnc2[nH]cnc12,R779445,"ADENINE,N6-I-HEPTYL",A5643,3.61,Log unit,OChem,OChem_21087,0,0,0,ID_21087,CC(C)CCCCNc1ncnc2[nH]cnc12,"InChI=1S/C12H19N5/c1-9(2)5-3-4-6-13-11-10-12(15-7-14-10)17-8-16-11/h7-9H,3-6H2,1-2H3,(H2,13,14,15,16,17)",3.61
LMFPADXPOKBSAR-UHFFFAOYSA-N,0,0.0,3,0.0,4.2,N#CC(C#N)=NNc1ccccc1C(F)(F)F,R1189664,-,A5920,4.2,Log unit,OChem,OChem_22837,0,0,0,ID_22837,N#CC(C#N)=NNc1ccccc1C(F)(F)F,"InChI=1S/C10H5F3N4/c11-10(12,13)8-3-1-2-4-9(8)17-16-7(5-14)6-15/h1-4,17H",4.2
SWMGXKSQWDSBKV-UHFFFAOYSA-N,0,0.0,1,0.0,1.49,CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O,R667824,-,A5214,1.49,Log unit,OChem,OChem_31057,0,0,0,ID_31057,CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O,"InChI=1S/C10H16N4O2S/c1-10(2,3)7-11-12-8(17-7)14-6(15)5-13(4)9(14)16/h6,15H,5H2,1-4H3",1.49
OTFNCXLUCRUNCH-UHFFFAOYSA-N,0,0.0,4,0.0,3.64,COc1c(Cl)ccc(Cl)c1Cl,R1185774,-,A5920,3.64,Log unit,OChem,OChem_21461,0,0,0,ID_21461,COc1c(Cl)ccc(Cl)c1Cl,"InChI=1S/C7H5Cl3O/c1-11-7-5(9)3-2-4(8)6(7)10/h2-3H,1H3",3.64
BQHCQAQLTCQFJZ-UHFFFAOYSA-N,0,0.0,1,0.0,7.12,Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,R772995,"2,2',3,4',5,5'-HEXACHLOROBIPHENYL",A5643,7.12,Log unit,OChem,OChem_34996,0,0,0,ID_34996,Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,InChI=1S/C12H4Cl6/c13-5-1-7(12(18)11(17)2-5)6-3-9(15)10(16)4-8(6)14/h1-4H,7.12
SATCULPHIDQDRE-UHFFFAOYSA-N,0,0.0,5,0.0,1.05,O=Cc1ccc2c(c1)OCO2,R5654,Heliotropine,A164,1.05,Log unit,OChem,OChem_17115,0,0,0,ID_17115,O=Cc1ccc2c(c1)OCO2,"InChI=1S/C8H6O3/c9-4-6-1-2-7-8(3-6)11-5-10-7/h1-4H,5H2",1.05
