Name,DocumentID,ID,SMILES,Response,Original_SMILES,Batch Reference,Type,Dataset,SMILES_ORI,InChI,InChI Key,Resp_STDEV,Resp_CNT,Resp_MEDIAN
-,A100755,None,Cc1ncc(-c2ccnc(Nc3ccc(N4CCN(S(C)(=O)=O)CC4)cc3)n2)n1C(C)C,2.57,None,None,None,OChem,Cc1ncc(-c2ccnc(Nc3ccc(N4CCN(S(C)(=O)=O)CC4)cc3)n2)n1C(C)C,"InChI=1S/C22H29N7O2S/c1-16(2)29-17(3)24-15-21(29)20-9-10-23-22(26-20)25-18-5-7-19(8-6-18)27-11-13-28(14-12-27)32(4,30)31/h5-10,15-16H,11-14H2,1-4H3,(H,23,25,26)",PLAAWTKLLUHHMA-UHFFFAOYSA-N,0.0,1,2.57
-,A100755,None,COc1ccc(Cc2c(N)n[nH]c2N)cc1,0.2,None,None,None,OChem,COc1ccc(Cc2c(N)n[nH]c2N)cc1,"InChI=1S/C11H14N4O/c1-16-8-4-2-7(3-5-8)6-9-10(12)14-15-11(9)13/h2-5H,6H2,1H3,(H5,12,13,14,15)",KPHPMNHOOYVICO-UHFFFAOYSA-N,0.0,1,0.2
-,A100755,None,CCCSc1ncccc1C(=O)N(C)C1CCCCC1,3.36,None,None,None,OChem,CCCSc1ncccc1C(=O)N(C)C1CCCCC1,"InChI=1S/C16H24N2OS/c1-3-12-20-15-14(10-7-11-17-15)16(19)18(2)13-8-5-4-6-9-13/h7,10-11,13H,3-6,8-9,12H2,1-2H3",CKGNHSVKAWCUKU-UHFFFAOYSA-N,0.0,1,3.36
-,A123551,None,COc1ccc2c(c1)nc(NCCCN(C)CCCNc1nc3cc(OC)ccc3n3cccc13)c1cccn12,3.55,None,None,None,OChem,COc1ccc2c(c1)nc(NCCCN(C)CCCNc1nc3cc(OC)ccc3n3cccc13)c1cccn12,"InChI=1S/C31H35N7O2/c1-36(16-6-14-32-30-28-8-4-18-37(28)26-12-10-22(39-2)20-24(26)34-30)17-7-15-33-31-29-9-5-19-38(29)27-13-11-23(40-3)21-25(27)35-31/h4-5,8-13,18-21H,6-7,14-17H2,1-3H3,(H,32,34)(H,33,35)",AIQIJIFXYDWHHQ-UHFFFAOYSA-N,0.0,1,3.55
-,A100755,None,Cc1oc(C#N)cc1-c1c2c(=O)n(C)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,4.26,None,None,None,OChem,Cc1oc(C#N)cc1-c1c2c(=O)n(C)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,"InChI=1S/C26H21ClN6O3/c1-14-19(10-18(11-28)36-14)23-22-24(32(12-15-3-4-15)26(35)31(2)25(22)34)30-33(23)13-16-7-8-29-21-6-5-17(27)9-20(16)21/h5-10,15H,3-4,12-13H2,1-2H3",TTYXLWOKFASPTH-UHFFFAOYSA-N,0.0,1,4.26
-,A100755,None,O=c1[nH]n(Cc2ccncc2)c(=O)c2c(O)c3ccc(Cl)cc3nc12,-0.16,None,None,None,OChem,O=c1[nH]n(Cc2ccncc2)c(=O)c2c(O)c3ccc(Cl)cc3nc12,"InChI=1S/C17H11ClN4O3/c18-10-1-2-11-12(7-10)20-14-13(15(11)23)17(25)22(21-16(14)24)8-9-3-5-19-6-4-9/h1-7H,8H2,(H,20,23)(H,21,24)",HXAUOPBEYSUYJM-UHFFFAOYSA-N,0.0,1,-0.16
-,A111962,None,CCC(C)C(NC(C)=O)C(=O)NC(CCSC)C(=O)NC(Cc1ccccc1)C(N)=O,0.23,None,None,None,OChem,CCC(C)C(NC(C)=O)C(=O)NC(CCSC)C(=O)NC(Cc1ccccc1)C(N)=O,"InChI=1S/C22H34N4O4S/c1-5-14(2)19(24-15(3)27)22(30)25-17(11-12-31-4)21(29)26-18(20(23)28)13-16-9-7-6-8-10-16/h6-10,14,17-19H,5,11-13H2,1-4H3,(H2,23,28)(H,24,27)(H,25,30)(H,26,29)",WIVCRNQIPYCWMF-UHFFFAOYSA-N,0.0,1,0.23
-,A100755,None,COc1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)OC2,0.5,None,None,None,OChem,COc1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)OC2,"InChI=1S/C24H29N5O5/c1-32-19-4-2-16-14-34-24(31)29(20(16)12-19)11-10-28-8-6-17(7-9-28)25-13-18-3-5-21-23(26-18)27-22(30)15-33-21/h2-5,12,17,25H,6-11,13-15H2,1H3,(H,26,27,30)",OMHYWQXDTNWHST-UHFFFAOYSA-N,0.0,1,0.5
-,A100755,None,N#CC1(NC(=O)C2CCCCC2C(=O)N2CCc3[nH]c4c(Br)cccc4c3C2)CC1,3.12,None,None,None,OChem,N#CC1(NC(=O)C2CCCCC2C(=O)N2CCc3[nH]c4c(Br)cccc4c3C2)CC1,"InChI=1S/C23H25BrN4O2/c24-18-7-3-6-14-17-12-28(11-8-19(17)26-20(14)18)22(30)16-5-2-1-4-15(16)21(29)27-23(13-25)9-10-23/h3,6-7,15-16,26H,1-2,4-5,8-12H2,(H,27,29)",AQGUNNOFRISWLL-UHFFFAOYSA-N,0.0,1,3.12
-,A100755,None,CSc1ncccc1C(=O)Nc1nccs1,1.43,None,None,None,OChem,CSc1ncccc1C(=O)Nc1nccs1,"InChI=1S/C10H9N3OS2/c1-15-9-7(3-2-4-11-9)8(14)13-10-12-5-6-16-10/h2-6H,1H3,(H,12,13,14)",WSHGOLKXFFKTHY-UHFFFAOYSA-N,0.0,1,1.43
-,A100755,None,c1ccc(C2OC3(CCNCC3)c3ccccc32)cc1,0.75,None,None,None,OChem,c1ccc(C2OC3(CCNCC3)c3ccccc32)cc1,"InChI=1S/C18H19NO/c1-2-6-14(7-3-1)17-15-8-4-5-9-16(15)18(20-17)10-12-19-13-11-18/h1-9,17,19H,10-13H2",ZFJQWOMHWFYLPD-UHFFFAOYSA-N,0.0,1,0.75
ALA,A112134,None,CC(N)C(=O)O,-0.27,None,None,None,OChem,CC(N)C(=O)O,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)",QNAYBMKLOCPYGJ-UHFFFAOYSA-N,0.0,1,-0.27
Almokalant,A2070,None,CCCS(=O)CCCN(CC)CC(O)COc1ccc(C#N)cc1,0.6,None,None,None,OChem,CCCS(=O)CCCN(CC)CC(O)COc1ccc(C#N)cc1,"InChI=1S/C18H28N2O3S/c1-3-11-24(22)12-5-10-20(4-2)14-17(21)15-23-18-8-6-16(13-19)7-9-18/h6-9,17,21H,3-5,10-12,14-15H2,1-2H3",ZMHOBBKJBYLXFR-UHFFFAOYSA-N,0.0,1,0.6
-,A118333,None,CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(COC(=O)N3CCN(CC4CC4)CC3)c2cn1,3.6,None,None,None,OChem,CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(COC(=O)N3CCN(CC4CC4)CC3)c2cn1,"InChI=1S/C28H34N6O3/c1-3-29-27(35)32-26-15-24-23(21-8-9-30-19(2)14-21)7-6-22(25(24)16-31-26)18-37-28(36)34-12-10-33(11-13-34)17-20-4-5-20/h6-9,14-16,20H,3-5,10-13,17-18H2,1-2H3,(H2,29,31,32,35)",CRZVOEIRSRPIPL-UHFFFAOYSA-N,0.0,1,3.6
-,A100755,None,Cc1ccc(NC(=O)C2CC2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,2.17,None,None,None,OChem,Cc1ccc(NC(=O)C2CC2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,"InChI=1S/C24H27N5O2/c1-16-3-6-18(26-23(30)17-4-5-17)13-22(16)29-15-25-21-8-7-19(14-20(21)24(29)31)28-11-9-27(2)10-12-28/h3,6-8,13-15,17H,4-5,9-12H2,1-2H3,(H,26,30)",VDFIDAZBTUTWTF-UHFFFAOYSA-N,0.0,1,2.17
-,A100755,None,O=C(c1cc2cc(Cl)ccc2[nH]1)N1CCNCC1,1.65,None,None,None,OChem,O=C(c1cc2cc(Cl)ccc2[nH]1)N1CCNCC1,"InChI=1S/C13H14ClN3O/c14-10-1-2-11-9(7-10)8-12(16-11)13(18)17-5-3-15-4-6-17/h1-2,7-8,15-16H,3-6H2",RNGVSSIIHLHHSN-UHFFFAOYSA-N,0.0,1,1.65
-,A111962,None,CC(=O)NC(CCC(N)=O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(N)=O,0.07,None,None,None,OChem,CC(=O)NC(CCC(N)=O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(N)=O,"InChI=1S/C24H34N6O5/c1-13(2)10-19(22(26)33)29-24(35)20(11-15-12-27-17-7-5-4-6-16(15)17)30-23(34)18(28-14(3)31)8-9-21(25)32/h4-7,12-13,18-20,27H,8-11H2,1-3H3,(H2,25,32)(H2,26,33)(H,28,31)(H,29,35)(H,30,34)",FAVGBHMLXWQZGM-UHFFFAOYSA-N,0.0,1,0.07
-,A100755,None,CCCSc1nc(NC2CC2c2ccccc2)c2nnn(C3CC(OCCO)C(O)C3O)c2n1,3.87,None,None,None,OChem,CCCSc1nc(NC2CC2c2ccccc2)c2nnn(C3CC(OCCO)C(O)C3O)c2n1,"InChI=1S/C23H30N6O4S/c1-2-10-34-23-25-21(24-15-11-14(15)13-6-4-3-5-7-13)18-22(26-23)29(28-27-18)16-12-17(33-9-8-30)20(32)19(16)31/h3-7,14-17,19-20,30-32H,2,8-12H2,1H3,(H,24,25,26)",WAAZWZXNFNZGJV-UHFFFAOYSA-N,0.0,1,3.87
-,A100755,None,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,3.3,None,None,None,OChem,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,"InChI=1S/C22H16F4N4O2S/c1-28-18(31)15-6-5-14(10-17(15)23)30-20(33)29(19(32)21(30)7-2-8-21)13-4-3-12(11-27)16(9-13)22(24,25)26/h3-6,9-10H,2,7-8H2,1H3,(H,28,31)",JPQFGMYHKSKKGW-UHFFFAOYSA-N,0.0,1,3.3
-,A100755,None,COc1ccc(Cn2c(=O)[nH]c3c(=O)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c(-c4ccccc4)cc3c2=O)cc1,2.93,None,None,None,OChem,COc1ccc(Cn2c(=O)[nH]c3c(=O)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c(-c4ccccc4)cc3c2=O)cc1,"InChI=1S/C29H27F3N4O6/c1-16(2)23(25(38)29(30,31)32)33-22(37)15-35-21(18-7-5-4-6-8-18)13-20-24(27(35)40)34-28(41)36(26(20)39)14-17-9-11-19(42-3)12-10-17/h4-13,16,23H,14-15H2,1-3H3,(H,33,37)(H,34,41)",HXJSJCIHKJGWCS-UHFFFAOYSA-N,0.0,1,2.93
-,A101942,None,Cc1cc2[nH]c(C3CCN(CCn4c(=O)ccc5ncc(F)cc54)CC3)nc2cc1Cl,3.7,None,None,None,OChem,Cc1cc2[nH]c(C3CCN(CCn4c(=O)ccc5ncc(F)cc54)CC3)nc2cc1Cl,"InChI=1S/C23H23ClFN5O/c1-14-10-19-20(12-17(14)24)28-23(27-19)15-4-6-29(7-5-15)8-9-30-21-11-16(25)13-26-18(21)2-3-22(30)31/h2-3,10-13,15H,4-9H2,1H3,(H,27,28)",HAQKLGJJQPPHIQ-UHFFFAOYSA-N,0.0,1,3.7
-,A100755,None,CCCCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O,2.37,None,None,None,OChem,CCCCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O,"InChI=1S/C18H24N4O/c1-4-5-10-14-21-15-16(22(14)11-18(2,3)23)12-8-6-7-9-13(12)20-17(15)19/h6-9,23H,4-5,10-11H2,1-3H3,(H2,19,20)",GITVQUOQRHRGQQ-UHFFFAOYSA-N,0.0,1,2.37
-,A100755,None,c1ccc2[nH]c(CCCc3nc4ccccc4[nH]3)nc2c1,3.5,None,None,None,OChem,c1ccc2[nH]c(CCCc3nc4ccccc4[nH]3)nc2c1,"InChI=1S/C17H16N4/c1-2-7-13-12(6-1)18-16(19-13)10-5-11-17-20-14-8-3-4-9-15(14)21-17/h1-4,6-9H,5,10-11H2,(H,18,19)(H,20,21)",DKPRGKDYGLKMLF-UHFFFAOYSA-N,0.0,1,3.5
-,A100755,None,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CCC(O)C3)c(Cc3ccnc4ccc(F)cc34)sc21,1.95,None,None,None,OChem,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CCC(O)C3)c(Cc3ccnc4ccc(F)cc34)sc21,"InChI=1S/C26H27FN4O4S/c1-14(2)12-31-25-22(23(33)29(3)26(31)35)21(24(34)30-9-7-17(32)13-30)20(36-25)10-15-6-8-28-19-5-4-16(27)11-18(15)19/h4-6,8,11,14,17,32H,7,9-10,12-13H2,1-3H3",OZYYOJGDGOAPBJ-UHFFFAOYSA-N,0.0,1,1.95
-,A100755,None,NC1(c2ccc(-c3ncc4ccncc4c3-c3ccccc3)cc2)CCC1,2.2,None,None,None,OChem,NC1(c2ccc(-c3ncc4ccncc4c3-c3ccccc3)cc2)CCC1,"InChI=1S/C24H21N3/c25-24(12-4-13-24)20-9-7-18(8-10-20)23-22(17-5-2-1-3-6-17)21-16-26-14-11-19(21)15-27-23/h1-3,5-11,14-16H,4,12-13,25H2",LODATPFQIYRJKC-UHFFFAOYSA-N,0.0,1,2.2
-,A100755,None,CC(CC(=O)NCc1ccccc1)C1CCCO1,2.1,None,None,None,OChem,CC(CC(=O)NCc1ccccc1)C1CCCO1,"InChI=1S/C15H21NO2/c1-12(14-8-5-9-18-14)10-15(17)16-11-13-6-3-2-4-7-13/h2-4,6-7,12,14H,5,8-11H2,1H3,(H,16,17)",JCBJRIFKIORSDK-UHFFFAOYSA-N,0.0,1,2.1
-,A100755,None,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,2.3,None,None,None,OChem,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,"InChI=1S/C18H21F3N6O2/c19-18(20,21)13-9-15(22)23-11-12(13)14-10-16(26-1-5-28-6-2-26)25-17(24-14)27-3-7-29-8-4-27/h9-11H,1-8H2,(H2,22,23)",CWHUFRVAEUJCEF-UHFFFAOYSA-N,0.0742781352708208,29,2.3
-,A100755,None,COc1cc(F)ccc1-c1cncc(CNC(=O)c2ccccc2)c1,3.76,None,None,None,OChem,COc1cc(F)ccc1-c1cncc(CNC(=O)c2ccccc2)c1,"InChI=1S/C20H17FN2O2/c1-25-19-10-17(21)7-8-18(19)16-9-14(11-22-13-16)12-23-20(24)15-5-3-2-4-6-15/h2-11,13H,12H2,1H3,(H,23,24)",RAXPLTCGWAHZCE-UHFFFAOYSA-N,0.0,1,3.76
-,A100755,None,N=C(N)Nc1ccc(C(=O)Oc2ccc(Cl)cc2)cc1,0.7,None,None,None,OChem,N=C(N)Nc1ccc(C(=O)Oc2ccc(Cl)cc2)cc1,"InChI=1S/C14H12ClN3O2/c15-10-3-7-12(8-4-10)20-13(19)9-1-5-11(6-2-9)18-14(16)17/h1-8H,(H4,16,17,18)",TYNHUYPNNVQELL-UHFFFAOYSA-N,0.0,1,0.7
-,A100755,None,O=c1oc2c(O)cccc2cc1-c1ccc(O)cc1,2.8,None,None,None,OChem,O=c1oc2c(O)cccc2cc1-c1ccc(O)cc1,"InChI=1S/C15H10O4/c16-11-6-4-9(5-7-11)12-8-10-2-1-3-13(17)14(10)19-15(12)18/h1-8,16-17H",HXOYIYQATHNBKZ-UHFFFAOYSA-N,0.0,1,2.8
-,A111962,None,CC(C)CC(N)C(=O)N1CCCC1C(=O)NC(C(=O)NCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(N)=O)C(C)C,1.12,None,None,None,OChem,CC(C)CC(N)C(=O)N1CCCC1C(=O)NC(C(=O)NCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(N)=O)C(C)C,"InChI=1S/C38H52N8O6/c1-22(2)17-27(39)38(52)46-16-10-15-31(46)36(50)45-33(23(3)4)37(51)42-21-32(47)43-30(19-25-20-41-28-14-9-8-13-26(25)28)35(49)44-29(34(40)48)18-24-11-6-5-7-12-24/h5-9,11-14,20,22-23,27,29-31,33,41H,10,15-19,21,39H2,1-4H3,(H2,40,48)(H,42,51)(H,43,47)(H,44,49)(H,45,50)",IQVCFCHJLUFXJZ-UHFFFAOYSA-N,0.0,1,1.12
-,A123581,None,CCS(=O)(=O)c1ccc(C(NC(C)=O)C(=O)Nc2cc(-c3cc(C#N)cnc3OCC(F)(F)F)cs2)cc1,3.7,None,None,None,OChem,CCS(=O)(=O)c1ccc(C(NC(C)=O)C(=O)Nc2cc(-c3cc(C#N)cnc3OCC(F)(F)F)cs2)cc1,"InChI=1S/C24H21F3N4O5S2/c1-3-38(34,35)18-6-4-16(5-7-18)21(30-14(2)32)22(33)31-20-9-17(12-37-20)19-8-15(10-28)11-29-23(19)36-13-24(25,26)27/h4-9,11-12,21H,3,13H2,1-2H3,(H,30,32)(H,31,33)",QQIBJFMXQBDPGQ-UHFFFAOYSA-N,0.0,1,3.7
-,A100755,None,COc1ccnc(NC2CCN(C(=O)c3ccc(C#N)cc3)CC2)c1,1.73,None,None,None,OChem,COc1ccnc(NC2CCN(C(=O)c3ccc(C#N)cc3)CC2)c1,"InChI=1S/C19H20N4O2/c1-25-17-6-9-21-18(12-17)22-16-7-10-23(11-8-16)19(24)15-4-2-14(13-20)3-5-15/h2-6,9,12,16H,7-8,10-11H2,1H3,(H,21,22)",SZUVGMCKKLJAFX-UHFFFAOYSA-N,0.0,1,1.73
-,A100755,None,NC(=O)c1sc(-c2ccsc2)cc1N,2.23,None,None,None,OChem,NC(=O)c1sc(-c2ccsc2)cc1N,"InChI=1S/C9H8N2OS2/c10-6-3-7(5-1-2-13-4-5)14-8(6)9(11)12/h1-4H,10H2,(H2,11,12)",BMUACLADCKCNKZ-UHFFFAOYSA-N,0.0,1,2.23
-,A100755,None,CC1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccc(Cl)cc1,1.21,None,None,None,OChem,CC1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccc(Cl)cc1,"InChI=1S/C22H24Cl2N2O4/c1-15-12-25(13-17-11-19(24)6-7-20(17)30-14-22(28)29)8-9-26(15)21(27)10-16-2-4-18(23)5-3-16/h2-7,11,15H,8-10,12-14H2,1H3,(H,28,29)",BHZNGMOMDQDTGT-UHFFFAOYSA-N,0.0,1,1.21
-,A111962,None,CCC(C)C(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)NCC(=O)O,-1.49,None,None,None,OChem,CCC(C)C(NC(=O)C([NH3+])Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)NCC(=O)[O-],"InChI=1S/C23H36N4O6/c1-5-14(4)20(27-21(31)17(24)11-15-6-8-16(28)9-7-15)23(33)26-18(10-13(2)3)22(32)25-12-19(29)30/h6-9,13-14,17-18,20,28H,5,10-12,24H2,1-4H3,(H,25,32)(H,26,33)(H,27,31)(H,29,30)",WOCSEVOJNVEDHB-UHFFFAOYSA-N,0.0,1,-1.49
-,A100755,None,CC(=O)N(C)c1ccc2ccn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,2.9,None,None,None,OChem,CC(=O)N(C)c1ccc2ccn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,"InChI=1S/C21H19N7O/c1-13(29)26(2)17-6-3-14-7-8-27(18(14)9-17)19-10-20(24-16-4-5-16)28-21(25-19)15(11-22)12-23-28/h3,6-10,12,16,24H,4-5H2,1-2H3",LEBFBYRNCKITGV-UHFFFAOYSA-N,0.0,1,2.9
